DateTime,Electricity_Demand,Temperature,Air_Pressure,Wind_Speed,Total_Pop,Unemployment_Rate,Solar_PV_penetration,sin365,cos365,sin365_2,cos365_2,dayHour,Season
2/4/15 6:00,56546.18924,18.52,1011,4,1305722.8,5.29,0.002201,-0.032248952,-0.999479867,0.064464357,0.99792001,6,2
2/4/15 7:00,57282.96547,18.11,1011,4,1305722.8,5.29,0.002201,-0.033681708,-0.99943261,0.067325195,0.997731085,7,2
2/4/15 8:00,57208.57574,21.41,1012,5,1305722.8,5.29,0.002201,-0.035114395,-0.999383299,0.07018548,0.997533958,8,2
2/4/15 9:00,57168.09983,21.89,1009,2,1305722.8,5.29,0.002201,-0.03654701,-0.999331935,0.073045188,0.997328632,9,2
2/4/15 10:00,57457.15373,24.53,1009,2,1305722.8,5.29,0.002201,-0.037979549,-0.999278517,0.075904296,0.997115108,10,2
2/4/15 11:00,57882.20708,26.82,1011,5,1305722.8,5.29,0.002201,-0.039412011,-0.999223045,0.078762779,0.996893387,11,2
2/4/15 12:00,57962.14979,27.01,1010,0,1305722.8,5.29,0.002201,-0.040844392,-0.99916552,0.081620615,0.996663471,12,2
2/4/15 13:00,58180.17148,27.42,1009,0,1305722.8,5.29,0.002201,-0.042276688,-0.999105941,0.084477781,0.996425363,13,2
2/4/15 14:00,58302.63626,28.33,1009,1,1305722.8,5.29,0.002201,-0.043708898,-0.999044309,0.087334251,0.996179064,14,2
2/4/15 15:00,58212.95174,27.6,1009,0,1305722.8,5.29,0.002201,-0.045141018,-0.998980625,0.090190004,0.995924577,15,2
2/4/15 16:00,58348.62671,27.75,1009,5,1305722.8,5.29,0.002201,-0.046573045,-0.998914887,0.093045016,0.995661903,16,2
2/4/15 17:00,58265.96173,25.45,1009,5,1305722.8,5.29,0.002201,-0.048004976,-0.998847097,0.095899262,0.995391044,17,2
2/4/15 18:00,58495.45331,23.95,1010,3,1305722.8,5.29,0.002201,-0.049436809,-0.998777253,0.098752721,0.995112004,18,2
2/4/15 19:00,58261.87729,23.13,1011,3,1305722.8,5.29,0.002201,-0.05086854,-0.998705358,0.101605367,0.994824783,19,2
2/4/15 20:00,57638.0427,23.23,1011,3,1305722.8,5.29,0.002201,-0.052300167,-0.99863141,0.104457179,0.994529385,20,2
2/4/15 21:00,56782.22238,22.97,1012,4,1305722.8,5.29,0.002201,-0.053731686,-0.99855541,0.107308132,0.994225812,21,2
2/4/15 22:00,55728.64141,22.16,1012,3,1305722.8,5.29,0.002201,-0.055163095,-0.998477357,0.110158202,0.993914066,22,2
2/4/15 23:00,54787.98284,21.21,1012,4,1305722.8,5.29,0.002201,-0.05659439,-0.998397253,0.113007368,0.99359415,23,2
3/4/15 0:00,52840.38025,19.3,1012,3,1305450.6,5.28,0.002212,-0.058025569,-0.998315097,0.115855604,0.993266067,0,2
3/4/15 1:00,52471.67187,19.72,1012,4,1305450.6,5.28,0.002212,-0.059456629,-0.99823089,0.118702888,0.992929818,1,2
3/4/15 2:00,52392.68184,18.56,1012,4,1305450.6,5.28,0.002212,-0.060887567,-0.998144631,0.121549196,0.992585408,2,2
3/4/15 3:00,52383.85557,18.15,1013,3,1305450.6,5.28,0.002212,-0.062318379,-0.998056321,0.124394505,0.992232839,3,2
3/4/15 4:00,52716.31468,17.33,1013,3,1305450.6,5.28,0.002212,-0.063749064,-0.99796596,0.127238791,0.991872114,4,2
3/4/15 5:00,53421.32449,17.53,1013,3,1305450.6,5.28,0.002212,-0.065179617,-0.997873548,0.130082032,0.991503235,5,2
3/4/15 6:00,54795.06934,17.78,1014,3,1305450.6,5.28,0.002212,-0.066610037,-0.997779085,0.132924203,0.991126206,6,2
3/4/15 7:00,55457.76302,18.12,1015,4,1305450.6,5.28,0.002212,-0.068040319,-0.997682572,0.135765282,0.99074103,7,2
3/4/15 8:00,55284.54357,19.33,1015,2,1305450.6,5.28,0.002212,-0.069470462,-0.997584009,0.138605244,0.99034771,8,2
3/4/15 9:00,55287.14719,21.11,1015,1,1305450.6,5.28,0.002212,-0.070900462,-0.997483396,0.141444068,0.989946249,9,2
3/4/15 10:00,55467.70158,22.4,1015,0,1305450.6,5.28,0.002212,-0.072330317,-0.997380732,0.144281728,0.989536651,10,2
3/4/15 11:00,56003.9343,24.62,1015,3,1305450.6,5.28,0.002212,-0.073760022,-0.99727602,0.147118203,0.989118918,11,2
3/4/15 12:00,56475.56511,26.01,1014,2,1305450.6,5.28,0.002212,-0.075189576,-0.997169257,0.149953468,0.988693055,12,2
3/4/15 13:00,56633.82468,25.73,1013,3,1305450.6,5.28,0.002212,-0.076618976,-0.997060446,0.152787501,0.988259065,13,2
3/4/15 14:00,56699.27739,26.35,1013,4,1305450.6,5.28,0.002212,-0.078048218,-0.996949585,0.155620277,0.987816951,14,2
3/4/15 15:00,56751.39887,25.87,1013,2,1305450.6,5.28,0.002212,-0.0794773,-0.996836676,0.158451775,0.987366718,15,2
3/4/15 16:00,56716.16307,24.48,1013,0,1305450.6,5.28,0.002212,-0.080906218,-0.996721718,0.16128197,0.986908368,16,2
3/4/15 17:00,57087.4268,24.27,1013,0,1305450.6,5.28,0.002212,-0.082334971,-0.996604712,0.164110839,0.986441905,17,2
3/4/15 18:00,57229.43861,21.96,1013,0,1305450.6,5.28,0.002212,-0.083763553,-0.996485658,0.166938359,0.985967334,18,2
3/4/15 19:00,56983.14637,20.84,1014,0,1305450.6,5.28,0.002212,-0.085191964,-0.996364556,0.169764507,0.985484658,19,2
3/4/15 20:00,56400.66059,19.44,1014,0,1305450.6,5.28,0.002212,-0.0866202,-0.996241407,0.17258926,0.984993882,20,2
3/4/15 21:00,55590.51975,18.75,1014,0,1305450.6,5.28,0.002212,-0.088048258,-0.99611621,0.175412594,0.984495009,21,2
3/4/15 22:00,54558.25273,18.98,1014,0,1305450.6,5.28,0.002212,-0.089476135,-0.995988966,0.178234486,0.983988043,22,2
3/4/15 23:00,53895.39025,17.12,1014,0,1305450.6,5.28,0.002212,-0.090903828,-0.995859676,0.181054913,0.983472988,23,2
4/4/15 0:00,52406.21759,17.22,1015,0,1305450.6,5.28,0.002212,-0.092331334,-0.995728339,0.183873851,0.98294985,0,2
4/4/15 1:00,52184.92516,16.16,1015,0,1305178.4,5.27,0.002223,-0.09375865,-0.995594956,0.186691278,0.982418631,1,2
4/4/15 2:00,51883.25668,16.92,1014,2,1305178.4,5.27,0.002223,-0.095185774,-0.995459526,0.189507171,0.981879337,2,2
4/4/15 3:00,52108.17938,15.36,1014,0,1305178.4,5.27,0.002223,-0.096612702,-0.995322051,0.192321505,0.981331972,3,2
4/4/15 4:00,52346.13895,15.35,1015,0,1305178.4,5.27,0.002223,-0.098039431,-0.995182531,0.195134259,0.98077654,4,2
4/4/15 5:00,53056.76101,15.57,1015,1,1305178.4,5.27,0.002223,-0.09946596,-0.995040965,0.197945409,0.980213046,5,2
4/4/15 6:00,54332.95836,16.31,1015,0,1305178.4,5.27,0.002223,-0.100892283,-0.994897355,0.200754931,0.979641494,6,2
4/4/15 7:00,54816.31686,18.44,1016,0,1305178.4,5.27,0.002223,-0.1023184,-0.9947517,0.203562804,0.97906189,7,2
4/4/15 8:00,54643.98497,20.11,1016,1,1305178.4,5.27,0.002223,-0.103744306,-0.994604001,0.206369003,0.978474238,8,2
4/4/15 9:00,55166.72551,24.42,1016,4,1305178.4,5.27,0.002223,-0.105169998,-0.994454258,0.209173506,0.977878543,9,2
4/4/15 10:00,55515.67368,25.73,1016,3,1305178.4,5.27,0.002223,-0.106595475,-0.994302471,0.211976289,0.977274809,10,2
4/4/15 11:00,55953.62561,26.93,1016,4,1305178.4,5.27,0.002223,-0.108020733,-0.994148641,0.21477733,0.976663043,11,2
4/4/15 12:00,56370.85807,27.98,1015,5,1305178.4,5.27,0.002223,-0.109445769,-0.993992768,0.217576605,0.976043247,12,2
4/4/15 13:00,56659.49854,28.21,1014,6,1305178.4,5.27,0.002223,-0.110870579,-0.993834853,0.220374092,0.975415429,13,2
4/4/15 14:00,56650.1992,28.31,1014,5,1305178.4,5.27,0.002223,-0.112295162,-0.993674895,0.223169767,0.974779593,14,2
4/4/15 15:00,56884.81831,28.55,1014,7,1305178.4,5.27,0.002223,-0.113719515,-0.993512895,0.225963608,0.974135744,15,2
